disease_name,kegg_drug_id
Legionellosis,D08535
Legionellosis,D09702
Legionellosis,D10021
Legionellosis,D10643
Legionellosis,D10644
Legionellosis,D10750
Legionellosis,D10762
Legionellosis,D11785
Legionellosis,D12326
Legionellosis,D00346
Legionellosis,D01501
Legionellosis,D02002
Legionellosis,D09773
Legionellosis,D11695
Legionellosis,D11792
Legionellosis,D11811
Legionellosis,D03034
Legionellosis,D01076
Legionellosis,D02195
Legionellosis,D12612
Legionellosis,D00128
Legionellosis,D03047
Legionellosis,D03048
Legionellosis,D12817
Legionellosis,D00424
Legionellosis,D00211
Legionellosis,D00879
Legionellosis,D02550
Legionellosis,D02554
Legionellosis,D08479
Legionellosis,D09394
Legionellosis,D10087
Tuberculosis,D00359
Tuberculosis,D00434
Tuberculosis,D00887
Tuberculosis,D00889
Tuberculosis,D00892
Tuberculosis,D00893
Tuberculosis,D01862
Tuberculosis,D01915
Tuberculosis,D02258
Tuberculosis,D03601
Tuberculosis,D03643
Tuberculosis,D03816
Tuberculosis,D07474
Tuberculosis,D07661
Tuberculosis,D07983
Tuberculosis,D08410
Tuberculosis,D08492
Tuberculosis,D10568
Tuberculosis,D11092
Tuberculosis,D11095
Tuberculosis,D10901
Tuberculosis,D11044
Tuberculosis,D11090
Tuberculosis,D11834
Tuberculosis,D11835
Tuberculosis,D12483
Tuberculosis,D12708
Tuberculosis,D12717
Tuberculosis,D00752
Tuberculosis,D01392
Tuberculosis,D04936
Tuberculosis,D05094
Tuberculosis,D05095
Tuberculosis,D05096
Tuberculosis,D06130
Tuberculosis,D00123
Tuberculosis,D00131
Tuberculosis,D12792
Tuberculosis,D00749
Tuberculosis,D03154
Tuberculosis,D10172
Tuberculosis,D11890
Tuberculosis,D12505
Tuberculosis,D13127
Tuberculosis,D13128
Tuberculosis,D00142
Tuberculosis,D02115
Tuberculosis,D03828
Tuberculosis,D03942
Tuberculosis,D05500
Tuberculosis,D05589
Tuberculosis,D05999
Tuberculosis,D06238
Tuberculosis,D06239
Tuberculosis,D06503
Tuberculosis,D07472
Tuberculosis,D10596
Tuberculosis,D11352
Tuberculosis,D13147
Tuberculosis,D00236
Tuberculosis,D05177
Tuberculosis,D11077
Tuberculosis,D03021
Tuberculosis,D03665
Tuberculosis,D11740
Tuberculosis,D00323
Tuberculosis,D00391
Tuberculosis,D00584
Tuberculosis,D01064
Tuberculosis,D01223
Tuberculosis,D01244
Tuberculosis,D01309
Tuberculosis,D01784
Tuberculosis,D04197
Tuberculosis,D04964
Tuberculosis,D07974
Tuberculosis,D10803
Tuberculosis,D11447
Tuberculosis,D12388
Tuberculosis,D12528
Tuberculosis,D02755
Tuberculosis,D04537
Tuberculosis,D00161
Tuberculosis,D04931
Tuberculosis,D06109
Tuberculosis,D08603
Tuberculosis,D00925
Tuberculosis,D02187
Tuberculosis,D02188
Tuberculosis,D04253
Tuberculosis,D07995
Tuberculosis,D00433
Tuberculosis,D00447
Tuberculosis,D00450
Tuberculosis,D00580
Tuberculosis,D00587
Tuberculosis,D00592
Tuberculosis,D00870
Tuberculosis,D00871
Tuberculosis,D01047
Tuberculosis,D01141
Tuberculosis,D01142
Tuberculosis,D01216
Tuberculosis,D01526
Tuberculosis,D01601
Tuberculosis,D01954
Tuberculosis,D02001
Tuberculosis,D02434
Tuberculosis,D02435
Tuberculosis,D02436
Tuberculosis,D02437
Tuberculosis,D02439
Tuberculosis,D02440
Tuberculosis,D02447
Tuberculosis,D02450
Tuberculosis,D02516
Tuberculosis,D02517
Tuberculosis,D02519
Tuberculosis,D02520
