pathway_id,kegg_drug_id
map01110,D00882
map01110,D00885
map01110,D00886
map01110,D00888
map01110,D00890
map01110,D01092
map01110,D01429
map01110,D01480
map01110,D01620
map01110,D01664
map01110,D01775
map01110,D01980
map01110,D02169
map01110,D02555
map01110,D02556
map01110,D02557
map01110,D02582
map01110,D02583
map01110,D02584
map01110,D02585
map01110,D02586
map01110,D03023
map01110,D03025
map01110,D03526
map01110,D03883
map01110,D03936
map01110,D03997
map01110,D04624
map01110,D05268
map01110,D05367
map01110,D05800
map01110,D06373
map01110,D06630
map01110,D06883
map01110,D07193
map01110,D07598
map01110,D07676
map01110,D07752
map01110,D07882
map01110,D07884
map01110,D08296
map01110,D08313
map01110,D08510
map01110,D08535
map01110,D09702
map01110,D10021
map01110,D10643
map01110,D10644
map01110,D10750
map01110,D10762
map01110,D11785
map01110,D12326
map01110,D00346
map01110,D01501
map01110,D02002
map01110,D09773
map00074,D00346
map00074,D01501
map00074,D02002
map00074,D09773
map01120,D00220
map01120,D03086
map01120,D04234
map01120,D06180
map00561,D13114
map01230,D12197
map04146,D11981
map00903,D00123
map00903,D00131
map00220,D00220
map00220,D03086
map00220,D04234
map00220,D06180
map00260,D11981
map00260,D00505
map00260,D00785
map00260,D00826
map00260,D01097
map00260,D01888
map00260,D02559
map00260,D02560
map00260,D02561
map00260,D02562
map00260,D02563
map00260,D02564
map00260,D02579
map00260,D02580
map00260,D02581
map00260,D03239
map00260,D03248
map00260,D03409
map00260,D03731
map00260,D03733
map00260,D04092
map00260,D04681
map00260,D05033
map00260,D05039
map00260,D05040
map00260,D05458
map00260,D05459
map00260,D07337
map00260,D07338
map00260,D08085
map00260,D08349
map00260,D08392
map00260,D08393
map00260,D08453
map00260,D08469
map00260,D08625
map00260,D10158
map00260,D10191
map00260,D10829
map00260,D11224
map00260,D12197
map00572,D00878
map00572,D07925
map00270,D12197
map00230,D00220
map00230,D03086
map00230,D04234
map00230,D06180
map00670,D12197
map00380,D00505
map00380,D00785
map00380,D00826
map00380,D01097
map00380,D01888
map00380,D02559
map00380,D02560
map00380,D02561
map00380,D02562
map00380,D02563
map00380,D02564
map00380,D02579
map00380,D02580
map00380,D02581
map00380,D03239
map00380,D03248
map00380,D03409
map00380,D03731
map00380,D03733
map00380,D04092
map00380,D04681
map00380,D05033
map00380,D05039
map00380,D05040
map00380,D05458
map00380,D05459
map00380,D07337
map00380,D07338
map00380,D08085
map00380,D08349
map00380,D08392
map00380,D08393
map00380,D08453
map00380,D08469
map00380,D08625
map00380,D10158
map00380,D10191
map00380,D10829
map00380,D11224
map00983,D00752
map00983,D01392
map00983,D04936
map00983,D05094
map00983,D05095
map00983,D05096
map00983,D06130
map00983,D00161
map00983,D04931
map00983,D06109
map00983,D08603
map00983,D11679
map00360,D00505
map00360,D00785
map00360,D00826
map00360,D01097
map00360,D01888
map00360,D02559
map00360,D02560
map00360,D02561
map00360,D02562
map00360,D02563
map00360,D02564
map00360,D02579
map00360,D02580
map00360,D02581
map00360,D03239
map00360,D03248
map00360,D03409
map00360,D03731
map00360,D03733
map00360,D04092
map00360,D04681
map00360,D05033
map00360,D05039
map00360,D05040
map00360,D05458
map00360,D05459
map00360,D07337
map00360,D07338
map00360,D08085
map00360,D08349
map00360,D08392
map00360,D08393
map00360,D08453
map00360,D08469
map00360,D08625
map00360,D10158
map00360,D10191
map00360,D10829
map00360,D11224
map00470,D11981
map00311,D11981
map00360,D05177
map00360,D11077
map00350,D05177
map00270,D12723
map01100,D12723
map01100,D11695
map01100,D11792
map01110,D12723
map01110,D11695
map01110,D11792
map01120,D12723
map01230,D11695
map01230,D11792
map00220,D11695
map00220,D11792
map00620,D12723
map00010,D12723
map00330,D11695
map00330,D11792
map00640,D12723
map04148,D11695
map04148,D11792
map05132,D12792
map05132,D06554
map05132,D06650
map05132,D09375
map05132,D09376
map05132,D09711
map05132,D10126
map05132,D10646
map05132,D10647
map05132,D10719
map05132,D11766
map05132,D11920
