disease,drug,rank,score
meningioma,DB09143,15,0.7127795
meningioma,DB08828,16,0.7069175
meningioma,DB11978,17,0.70592976
meningioma,DB00855,18,0.70034885
meningioma,DB11619,19,0.6779194
meningioma,DB00957,20,0.6757823
multiplemyeloma,DB01041,1,0.5361861
multiplemyeloma,DB12243,2,0.4532389
multiplemyeloma,DB11760,3,0.44012725
multiplemyeloma,DB12332,4,0.43700063
multiplemyeloma,DB11793,5,0.43182078
multiplemyeloma,DB01229,6,0.43114206
multiplemyeloma,DB11581,7,0.4307418
multiplemyeloma,DB09074,8,0.42552108
multiplemyeloma,DB08814,9,0.37331203
multiplemyeloma,DB08910,10,0.36448115
multiplemyeloma,DB00179,11,0.33309174
multiplemyeloma,DB01213,12,0.33276516
multiplemyeloma,DB16157,13,0.3135777
multiplemyeloma,DB00744,14,0.3122748
multiplemyeloma,DB12789,15,0.30961192
multiplemyeloma,DB01656,16,0.30945405
multiplemyeloma,DB05219,17,0.30909884
multiplemyeloma,DB00711,18,0.30851707
multiplemyeloma,DB01367,19,0.3064235
multiplemyeloma,DB03843,20,0.3063681
osteoporosis-pseudogliomasyndrome,DB00848,1,0.6832526
osteoporosis-pseudogliomasyndrome,DB04843,2,0.59438765
osteoporosis-pseudogliomasyndrome,DB00572,3,0.5928606
osteoporosis-pseudogliomasyndrome,DB01036,4,0.5925009
osteoporosis-pseudogliomasyndrome,DB09300,5,0.5924926
osteoporosis-pseudogliomasyndrome,DB00185,6,0.5924504
osteoporosis-pseudogliomasyndrome,DB00332,7,0.59227616
osteoporosis-pseudogliomasyndrome,DB00747,8,0.59220755
osteoporosis-pseudogliomasyndrome,DB15357,9,0.59216475
osteoporosis-pseudogliomasyndrome,DB01062,10,0.59199846
osteoporosis-pseudogliomasyndrome,DB00340,11,0.5918828
osteoporosis-pseudogliomasyndrome,DB01231,12,0.5914135
osteoporosis-pseudogliomasyndrome,DB08897,13,0.5911766
osteoporosis-pseudogliomasyndrome,DB01085,14,0.5910684
osteoporosis-pseudogliomasyndrome,DB01625,15,0.59104013
osteoporosis-pseudogliomasyndrome,DB00496,16,0.5910121
osteoporosis-pseudogliomasyndrome,DB13262,17,0.5909918
osteoporosis-pseudogliomasyndrome,DB01409,18,0.5909114
osteoporosis-pseudogliomasyndrome,DB11181,19,0.5906781
osteoporosis-pseudogliomasyndrome,DB01591,20,0.59054404
frontonasaldysplasia,DB01213,1,0.436752
frontonasaldysplasia,DB12243,2,0.3844804
frontonasaldysplasia,DB01229,3,0.3629855
frontonasaldysplasia,DB11581,4,0.3604415
frontonasaldysplasia,DB00437,5,0.35386956
frontonasaldysplasia,DB08814,6,0.34422773
frontonasaldysplasia,DB01041,7,0.33517098
frontonasaldysplasia,DB16157,8,0.31992754
frontonasaldysplasia,DB12789,9,0.3152911
frontonasaldysplasia,DB05219,10,0.31401843
frontonasaldysplasia,DB01656,11,0.31360656
frontonasaldysplasia,DB04854,12,0.31280518
frontonasaldysplasia,DB09543,13,0.3106016
frontonasaldysplasia,DB03843,14,0.3101196
frontonasaldysplasia,DB01427,15,0.309708
frontonasaldysplasia,DB01113,16,0.30943528
frontonasaldysplasia,DB14184,17,0.30699563
frontonasaldysplasia,DB00825,18,0.3057025
frontonasaldysplasia,DB00613,19,0.30512795
frontonasaldysplasia,DB14212,20,0.3045597
neuraltubedefects,DB06756,1,0.80858976
neuraltubedefects,DB01280,2,0.80340767
neuraltubedefects,DB01005,3,0.80078316
neuraltubedefects,DB00631,4,0.7998842
neuraltubedefects,DB01073,5,0.7996826
neuraltubedefects,DB00441,6,0.79885817
neuraltubedefects,DB00242,7,0.7483016
neuraltubedefects,DB16200,8,0.74441993
neuraltubedefects,DB15413,9,0.69711983
neuraltubedefects,DB06705,10,0.68501043
neuraltubedefects,DB03585,11,0.68391335
neuraltubedefects,DB04711,12,0.6817977
neuraltubedefects,DB00743,13,0.6799611
neuraltubedefects,DB13967,14,0.6795007
neuraltubedefects,DB00384,15,0.66371334
neuraltubedefects,DB15444,16,0.662742
neuraltubedefects,DB11712,17,0.6624324
neuraltubedefects,DB00594,18,0.66091526
neuraltubedefects,DB09280,19,0.65823865
neuraltubedefects,DB08820,20,0.6554401
craniosynostoses,DB11886,1,0.5456808
craniosynostoses,DB15149,2,0.54404646
craniosynostoses,DB11652,3,0.53871435
craniosynostoses,DB15102,4,0.5307205
craniosynostoses,DB01259,5,0.529271
craniosynostoses,DB11828,6,0.5282435
craniosynostoses,DB08916,7,0.5242306
craniosynostoses,DB11963,8,0.5235407
craniosynostoses,DB12147,9,0.51370883
craniosynostoses,DB09078,10,0.50252545
craniosynostoses,DB09079,11,0.5003651
craniosynostoses,DB11718,12,0.49239242
craniosynostoses,DB00398,13,0.48891482
craniosynostoses,DB08881,14,0.46140027
craniosynostoses,DB00317,15,0.45392656
craniosynostoses,DB09330,16,0.4377918
craniosynostoses,DB16216,17,0.4368176
craniosynostoses,DB15568,18,0.4339966
craniosynostoses,DB05294,19,0.43243003
craniosynostoses,DB16390,20,0.43193942
sarcoidosis,DB09112,1,0.5543641
sarcoidosis,DB03085,2,0.5531926
sarcoidosis,DB01708,3,0.54370594
sarcoidosis,DB06154,4,0.54253614
sarcoidosis,DB00746,5,0.54020435
sarcoidosis,DB00608,6,0.52339953
sarcoidosis,DB01609,7,0.5095705
sarcoidosis,DB01254,8,0.5083767
sarcoidosis,DB16650,9,0.49851748
sarcoidosis,DB09517,10,0.49561128
sarcoidosis,DB01611,11,0.49431077
sarcoidosis,DB00437,12,0.4819762
sarcoidosis,DB01296,13,0.46529388
sarcoidosis,DB05260,14,0.46065342
sarcoidosis,DB11611,15,0.46033618
sarcoidosis,DB11994,16,0.45604593
sarcoidosis,DB00548,17,0.45156005
sarcoidosis,DB04854,18,0.44859898
sarcoidosis,DB00208,19,0.43926758
sarcoidosis,DB16628,20,0.4352228
psoriasis,DB01041,1,0.5757263
psoriasis,DB13063,2,0.575407
psoriasis,DB08814,3,0.5052991
psoriasis,DB00627,4,0.5010621
psoriasis,DB08949,5,0.47868377
psoriasis,DB03619,6,0.46613765
psoriasis,DB05187,7,0.42471212
psoriasis,DB00197,8,0.42319477
psoriasis,DB01132,9,0.4122275
psoriasis,DB11611,10,0.40841052
psoriasis,DB08910,11,0.40375
psoriasis,DB01393,12,0.40285444
psoriasis,DB00445,13,0.39223042
psoriasis,DB00208,14,0.3813842
psoriasis,DB00412,15,0.38043773
psoriasis,DB16650,16,0.3763685
psoriasis,DB01421,17,0.37567824
psoriasis,DB08818,18,0.36773777
psoriasis,DB01064,19,0.3612957
psoriasis,DB04845,20,0.36068285
medulloblastoma,DB06595,1,0.656707
medulloblastoma,DB11995,2,0.65349805
medulloblastoma,DB05676,3,0.65132827
medulloblastoma,DB11730,4,0.6496719
medulloblastoma,DB06589,5,0.64945793
medulloblastoma,DB15442,6,0.64808494
medulloblastoma,DB12001,7,0.6469721
medulloblastoma,DB09073,8,0.6465235
medulloblastoma,DB15233,9,0.645891
medulloblastoma,DB06210,10,0.64484096
medulloblastoma,DB13125,11,0.64444876
medulloblastoma,DB01268,12,0.64215004
medulloblastoma,DB11952,13,0.6330669
medulloblastoma,DB15275,14,0.60749006
medulloblastoma,DB12483,15,0.5787214
medulloblastoma,DB14840,16,0.57096386
medulloblastoma,DB12015,17,0.5658266
medulloblastoma,DB00619,18,0.51792186
medulloblastoma,DB15569,19,0.500643
medulloblastoma,DB15568,20,0.49158627
leishmaniasis,DB01041,1,0.70092756
leishmaniasis,DB08814,2,0.5561313
leishmaniasis,DB08910,3,0.5375782
leishmaniasis,DB13063,4,0.45298588
leishmaniasis,DB11994,5,0.39434892
leishmaniasis,DB00445,6,0.39369223
leishmaniasis,DB01296,7,0.39207858
leishmaniasis,DB00480,8,0.38422844
leishmaniasis,DB11611,9,0.3759594
leishmaniasis,DB00806,10,0.37020105
leishmaniasis,DB05260,11,0.3678211
leishmaniasis,DB01213,12,0.35335797
leishmaniasis,DB01421,13,0.34315774
leishmaniasis,DB08818,14,0.33695924
leishmaniasis,DB00795,15,0.31931823
leishmaniasis,DB09257,16,0.31571835
leishmaniasis,DB04845,17,0.30707029
leishmaniasis,DB11760,18,0.2996487
leishmaniasis,DB11679,19,0.29380363
leishmaniasis,DB12332,20,0.29207817
cholangiocarcinoma,DB01250,1,0.63773936
cholangiocarcinoma,DB01401,2,0.63216877
cholangiocarcinoma,DB00533,3,0.6313751
cholangiocarcinoma,DB01009,4,0.63095284
cholangiocarcinoma,DB00712,5,0.630586
cholangiocarcinoma,DB11071,6,0.6305356
cholangiocarcinoma,DB09216,7,0.6298384
