PathwayID,PathwayName,NumGenes,GeneSymbols,GeneIndices
hsa05133,Pertussis - Homo sapiens (human),28,C1R;C1S;C3;CASP1;CASP3;CASP7;CD14;CXCL8;IL10;IL12A;IL12B;IL1A;IL1B;IL23A;IL6;IRAK1;IRF8;JUN;NFKB1;NLRP3;NOS2;RELA;SERPING1;SFTPA2;TIRAP;TLR4;TNF;TRAF6,131;132;133;144;145;146;169;289;570;572;573;578;579;584;592;602;604;616;768;774;780;948;1005;1007;1132;1134;1141;1170
hsa05235,PD-L1 expression and PD-1 checkpoint pathway in cancer - Homo sapiens (human),27,AKT1;ALK;CD4;EGFR;HIF1A;HRAS;IFNG;JAK1;JUN;KRAS;MAP2K1;MAP2K2;NFKB1;NFKBIA;NRAS;PDCD1;PIK3R1;PTEN;PTPN11;RAF1;RELA;STAT1;STAT3;TIRAP;TLR4;TLR9;TRAF6,37;43;174;348;508;529;555;613;616;638;687;688;768;770;795;830;863;919;925;937;948;1079;1080;1132;1134;1135;1170
hsa04910,Insulin signaling pathway - Homo sapiens (human),27,AKT1;BRAF;CBL;CBLB;CRKL;FBP1;FLOT1;HRAS;INS;INSR;IRS1;IRS2;KRAS;MAP2K1;MAP2K2;NRAS;PCK1;PIK3R1;PPARGC1A;PRKACA;PRKACB;RAF1;SOCS2;SOCS3;SOS1;TSC1;TSC2,37;122;149;150;262;392;413;529;597;599;606;607;638;687;688;795;827;863;888;897;898;937;1063;1064;1068;1180;1181
hsa04610,Complement and coagulation cascades - Homo sapiens (human),26,A2M;C1R;C1S;C3;CD46;CFB;CFH;CFHR1;CFHR3;CFI;CR1;CR2;F2;F3;F7;FGA;FGB;PLAT;PLAU;PROC;PROCR;SERPINC1;SERPINE1;SERPING1;THBD;VTN,0;131;132;133;178;201;202;203;204;205;256;257;373;374;375;402;403;870;871;905;906;1002;1003;1005;1124;1224
hsa05320,Autoimmune thyroid disease - Homo sapiens (human),26,CD40;CD40LG;CD80;CD86;CTLA4;FAS;FASLG;HLA-A;HLA-B;HLA-C;HLA-DPB1;HLA-DQA1;HLA-DQB1;HLA-DRA;HLA-DRB1;HLA-DRB5;HLA-G;IFNA2;IL10;IL2;IL4;IL5;TG;TPO;TSHB;TSHR,175;176;182;184;280;388;389;510;511;512;513;514;515;516;517;518;519;553;570;582;589;591;1114;1166;1182;1183
hsa05223,Non-small cell lung cancer - Homo sapiens (human),26,AKT1;ALK;BRAF;CCND1;CDK6;CDKN2A;EGFR;ERBB2;HGF;HRAS;KIF5B;KRAS;MAP2K1;MAP2K2;MET;NRAS;PIK3R1;RAF1;RASSF1;RASSF5;RB1;RET;SOS1;STAT3;TGFA;TP53,37;43;122;161;189;192;348;362;503;529;634;638;687;688;701;795;863;937;939;940;941;950;1068;1080;1115;1162
hsa05230,Central carbon metabolism in cancer - Homo sapiens (human),26,AKT1;EGFR;ERBB2;FGFR1;FGFR2;FGFR3;G6PD;HIF1A;HRAS;IDH1;IDH2;KRAS;MAP2K1;MAP2K2;MET;MYC;NRAS;NTRK1;NTRK3;PDGFRA;PIK3R1;PKM;PTEN;RAF1;RET;TP53,37;348;362;406;407;408;427;508;529;546;547;638;687;688;701;740;795;799;801;837;863;867;919;937;950;1162
hsa04152,AMPK signaling pathway - Homo sapiens (human),26,ADIPOQ;AKT1;CCND1;CD36;CFTR;CPT1B;CREB3L1;FBP1;HMGCR;IGF1;IGF1R;INS;INSR;IRS1;IRS2;LEP;MAP3K7;PCK1;PIK3R1;PPARG;PPARGC1A;PPP2CA;SIRT1;STRADA;TSC1;TSC2,24;37;161;173;206;255;260;392;520;562;563;597;599;606;607;652;690;827;863;887;888;891;1015;1084;1180;1181
hsa04940,Type I diabetes mellitus - Homo sapiens (human),25,CD80;CD86;FAS;FASLG;GAD1;GAD2;HLA-A;HLA-B;HLA-C;HLA-DPB1;HLA-DQA1;HLA-DQB1;HLA-DRA;HLA-DRB1;HLA-DRB5;HLA-G;IFNG;IL12A;IL12B;IL1A;IL1B;IL2;INS;LTA;TNF,182;184;388;389;429;430;510;511;512;513;514;515;516;517;518;519;555;572;573;578;579;582;597;674;1141
hsa05218,Melanoma - Homo sapiens (human),25,AKT1;BRAF;CCND1;CDK6;CDKN2A;EGFR;FGF2;FGF8;FGFR1;HGF;HRAS;IGF1;IGF1R;KRAS;MAP2K1;MAP2K2;MET;NRAS;PDGFD;PDGFRA;PIK3R1;PTEN;RAF1;RB1;TP53,37;122;161;189;192;348;404;405;406;503;529;562;563;638;687;688;701;795;836;837;863;919;937;941;1162
hsa04935,"Growth hormone synthesis, secretion and action - Homo sapiens (human)",25,ADCY2;ADCY5;AKT1;CREB3L1;CRKL;GHRL;GNAS;HRAS;IGF1;IRS1;IRS2;KRAS;MAP2K1;MAP2K2;NRAS;PIK3R1;PRKACA;PRKACB;RAF1;SOCS2;SOCS3;SOS1;SST;STAT1;STAT3,21;22;37;260;262;447;454;529;562;606;607;638;687;688;795;863;897;898;937;1063;1064;1068;1077;1079;1080
hsa04928,"Parathyroid hormone synthesis, secretion and action - Homo sapiens (human)",25,ADCY2;ADCY5;BCL2;BGLAP;BRAF;CREB3L1;CYP24A1;EGFR;FGFR1;GATA3;GNA13;GNAS;KL;LRP5;MAP2K1;PDE4B;PDE4D;PRKACA;PRKACB;PTH;PTHLH;RAF1;RUNX2;TNFSF11;VDR,21;22;106;111;122;260;296;348;406;437;453;454;635;670;687;831;832;897;898;922;923;937;977;1152;1216
hsa04726,Serotonergic synapse - Homo sapiens (human),25,ADCY5;ALOX15;ALOX5;BRAF;CASP3;CYP2D6;DDC;GABRB3;GNAS;GNB3;HRAS;HTR1D;HTR2A;KCND2;KRAS;MAOA;MAOB;MAP2K1;NRAS;PRKACA;PRKACB;PTGS2;RAF1;SLC18A2;SLC6A4,22;45;46;122;145;299;307;428;454;455;529;538;539;618;638;684;685;687;795;897;898;921;937;1026;1044
hsa04917,Prolactin signaling pathway - Homo sapiens (human),25,AKT1;CCND1;CISH;ESR1;ESR2;HRAS;INS;KRAS;LHB;MAP2K1;MAP2K2;NFKB1;NRAS;PIK3R1;PRL;PRLR;RAF1;RELA;SOCS2;SOCS3;SOS1;STAT1;STAT3;TH;TNFSF11,37;161;219;366;367;529;597;638;653;687;688;768;795;863;901;902;937;948;1063;1064;1068;1079;1080;1123;1152
hsa04022,cGMP-PKG signaling pathway - Homo sapiens (human),24,ADCY2;ADCY5;AGTR1;AKT1;ATP1B2;ATP2B1;CNGA1;CNGB1;CREB3L1;EDNRB;GNA13;GUCY1A1;INS;INSR;IRS1;IRS2;MAP2K1;MAP2K2;MYLK;NOS3;NPPB;PIK3CG;PRKG1;RAF1,21;22;29;37;91;92;230;231;260;345;453;479;597;599;606;607;687;688;744;781;787;862;899;937
hsa05211,Renal cell carcinoma - Homo sapiens (human),24,AKT1;BRAF;CRKL;ETS1;HGF;HIF1A;HRAS;JUN;KRAS;MAP2K1;MAP2K2;MET;NRAS;PAK4;PIK3R1;PTPN11;RAF1;SOS1;TGFA;TGFB1;TGFB2;TGFB3;VEGFA;VHL,37;122;262;370;503;508;529;616;638;687;688;701;795;815;863;925;937;1068;1115;1116;1117;1118;1217;1219
hsa05330,Allograft rejection - Homo sapiens (human),24,CD40;CD40LG;CD80;CD86;FAS;FASLG;HLA-A;HLA-B;HLA-C;HLA-DPB1;HLA-DQA1;HLA-DQB1;HLA-DRA;HLA-DRB1;HLA-DRB5;HLA-G;IFNG;IL10;IL12A;IL12B;IL2;IL4;IL5;TNF,175;176;182;184;388;389;510;511;512;513;514;515;516;517;518;519;555;570;572;573;582;589;591;1141
hsa04921,Oxytocin signaling pathway - Homo sapiens (human),24,ACTG1;ADCY2;ADCY5;CCND1;EGFR;GNAS;GUCY1A1;HRAS;JUN;KCNJ4;KRAS;MAP2K1;MAP2K2;MYLK;NOS3;NRAS;OXT;PIK3CG;PRKACA;PRKACB;PTGS2;RAF1;RCAN1;TRPM2,15;21;22;161;348;454;479;529;616;625;638;687;688;744;781;795;807;862;897;898;921;937;944;1177
hsa04919,Thyroid hormone signaling pathway - Homo sapiens (human),24,ACTG1;AKT1;ATP1B2;BMP4;CCND1;CTNNB1;ESR1;HIF1A;HRAS;KRAS;MAP2K1;MAP2K2;MYC;NOTCH1;NRAS;PIK3R1;PRKACA;PRKACB;RAF1;RCAN1;SLC9A1;STAT1;TP53;TSC2,15;37;91;119;161;283;366;508;529;638;687;688;740;782;795;863;897;898;937;944;1045;1079;1162;1181
hsa04931,Insulin resistance - Homo sapiens (human),24,AGT;AKT1;CD36;CPT1B;CREB3L1;IL6;INS;INSR;IRS1;IRS2;NFKB1;NFKBIA;NOS3;PCK1;PIK3R1;PPARA;PPARGC1A;PTEN;PTPN11;RELA;SOCS3;STAT3;TNF;TNFRSF1A,28;37;173;255;260;592;597;599;606;607;768;770;781;827;863;886;888;919;925;948;1064;1080;1141;1148
hsa04012,ErbB signaling pathway - Homo sapiens (human),23,AKT1;AREG;BRAF;CBL;CBLB;CRKL;EGFR;ERBB2;HRAS;JUN;KRAS;MAP2K1;MAP2K2;MYC;NCK1;NCK2;NRAS;NRG1;PAK4;PIK3R1;RAF1;SOS1;TGFA,37;70;122;149;150;262;348;362;529;616;638;687;688;740;753;754;795;796;815;863;937;1068;1115
hsa04611,Platelet activation - Homo sapiens (human),23,ACTG1;ADCY2;ADCY5;AKT1;COL1A1;COL1A2;COL3A1;F2;FCGR2A;FGA;FGB;GNA13;GNAS;GUCY1A1;MYLK;NOS3;PIK3CG;PIK3R1;PRKACA;PRKACB;PRKG1;TLN1;VAMP8,15;21;22;37;239;240;242;373;396;402;403;453;454;479;744;781;862;863;897;898;899;1133;1209
hsa04110,Cell cycle - Homo sapiens (human),23,ATM;ATRX;CCNB3;CCND1;CCNE1;CDK6;CDKN2A;CDKN2B;CHEK2;MYC;PCNA;PLK1;PPP2CA;PTTG1;RB1;SKP2;SMAD2;SMAD3;SMAD4;TGFB1;TGFB2;TGFB3;TP53,87;93;160;161;162;189;192;193;209;740;828;873;891;929;941;1020;1049;1050;1051;1116;1117;1118;1162
hsa04672,Intestinal immune network for IgA production - Homo sapiens (human),23,CD40;CD40LG;CD80;CD86;CXCL12;HLA-DPB1;HLA-DQA1;HLA-DQB1;HLA-DRA;HLA-DRB1;HLA-DRB5;ICOS;ICOSLG;IL10;IL15;IL2;IL4;IL5;IL6;LTBR;TGFB1;TNFRSF13B;TNFRSF13C,175;176;182;184;287;513;514;515;516;517;518;543;544;570;575;582;589;591;592;678;1116;1144;1145
hsa04310,Wnt signaling pathway - Homo sapiens (human),23,APC;CCND1;CTNNB1;DAAM2;FZD4;JUN;LRP5;MAP3K7;MYC;PRKACA;PRKACB;RNF43;SERPINF1;SIRT1;SMAD3;SMAD4;TCF7;TP53;VANGL1;VANGL2;WNT1;WNT11;WNT5A,61;161;283;303;426;616;670;690;740;897;898;961;1004;1015;1050;1051;1105;1162;1210;1211;1229;1230;1231
hsa04540,Gap junction - Homo sapiens (human),23,ADCY2;ADCY5;DRD1;DRD2;EGFR;GJD2;GNAS;GUCY1A1;HRAS;HTR2A;KRAS;MAP2K1;MAP2K2;NRAS;PDGFD;PDGFRA;PRKACA;PRKACB;PRKG1;RAF1;SOS1;TUBA1B;TUBA1C,21;22;331;332;348;450;454;479;529;539;638;687;688;795;836;837;897;898;899;937;1068;1188;1189
hsa05219,Bladder cancer - Homo sapiens (human),22,BRAF;CCND1;CDKN2A;CXCL8;EGFR;ERBB2;FGFR3;HRAS;KRAS;MAP2K1;MAP2K2;MMP1;MMP2;MMP9;MYC;NRAS;RAF1;RASSF1;RB1;THBS1;TP53;VEGFA,122;161;192;289;348;362;408;529;638;687;688;713;716;718;740;795;937;939;941;1125;1162;1217
hsa04916,Melanogenesis - Homo sapiens (human),22,ADCY2;ADCY5;CREB3L1;CTNNB1;EDN1;EDNRB;FZD4;GNAS;HRAS;KRAS;MAP2K1;MAP2K2;MC1R;NRAS;POMC;PRKACA;PRKACB;RAF1;TCF7;WNT1;WNT11;WNT5A,21;22;260;283;343;345;426;454;529;638;687;688;694;795;883;897;898;937;1105;1229;1230;1231
hsa04082,Neuroactive ligand signaling - Homo sapiens (human),22,ADCY2;ADCY5;CHRM3;DRD1;DRD2;GABRB3;GNAS;GNB3;GRIA4;GRM4;HRH1;HTR1D;HTR2A;P2RY11;PENK;POMC;PRKACA;PRKACB;SLC18A2;SLC6A3;SLC6A4;TAC1,21;22;213;331;332;428;454;455;468;469;530;538;539;809;842;883;897;898;1026;1043;1044;1090
hsa04512,ECM-receptor interaction - Homo sapiens (human),22,CD36;CD44;COL1A1;COL1A2;COL2A1;COL4A1;COL4A2;COL9A1;COL9A2;COL9A3;DSPP;FN1;FREM1;LAMA2;LAMB1;LAMC1;SPP1;THBS1;THBS2;TNC;TNXB;VTN,173;177;239;240;241;243;244;247;248;249;335;414;420;644;645;646;1075;1125;1126;1140;1158;1224
hsa04382,Cornified envelope formation - Homo sapiens (human),22,CLDN11;CLDN18;COL4A1;COL4A2;DSP;FURIN;GBA1;KRT19;KRT71;KRT74;LCE3B;LCE3C;LCE3D;PPP2CA;PRSS8;S100A10;S100A4;S100A6;S100A7;S100A9;SPRR2B;ST14,223;224;243;244;334;423;438;639;640;641;647;648;649;891;908;979;980;981;982;983;1076;1078
hsa05150,Staphylococcus aureus infection - Homo sapiens (human),22,C1R;C1S;C3;CFB;CFH;CFI;DEFA4;FCGR2A;FCGR2B;FCGR3A;FCGR3B;FPR2;HLA-DPB1;HLA-DQA1;HLA-DQB1;HLA-DRA;HLA-DRB1;HLA-DRB5;ICAM1;IL10;KRT19;PTAFR,131;132;133;201;202;205;310;396;397;398;399;419;513;514;515;516;517;518;542;570;639;915
hsa04071,Sphingolipid signaling pathway - Homo sapiens (human),22,AKT1;ASAH2;BCL2;GNA13;HRAS;KRAS;MAP2K1;MAP2K2;MAP3K5;NFKB1;NOS3;NRAS;ORMDL3;PIK3R1;PPP2CA;PTEN;RAF1;RELA;SGMS2;TNF;TNFRSF1A;TP53,37;78;106;453;529;638;687;688;689;768;781;795;804;863;891;919;937;948;1009;1141;1148;1162
hsa04213,Longevity regulating pathway - multiple species - Homo sapiens (human),22,ADCY2;ADCY5;AKT1;CAT;CRYAB;HRAS;HSPA1A;HSPA1B;IGF1;IGF1R;INS;INSR;IRS1;IRS2;KRAS;NRAS;PIK3R1;PRKACA;PRKACB;SIRT1;SOD1;SOD2,21;22;37;147;268;529;534;535;562;563;597;599;606;607;638;795;863;897;898;1015;1065;1066
hsa04979,Cholesterol metabolism - Homo sapiens (human),22,ABCA1;ABCG5;ABCG8;ANGPTL4;APOA1;APOA4;APOB;APOC3;APOE;CD36;CETP;CYP27A1;LDLR;LIPA;LPA;LPL;LRP2;NPC1;PCSK9;PLTP;SOAT2;SORT1,2;8;9;55;63;64;66;67;69;173;199;298;651;658;664;666;668;784;829;879;1062;1067
hsa05214,Glioma - Homo sapiens (human),21,AKT1;BRAF;CCND1;CDK6;CDKN2A;EGFR;HRAS;IGF1;IGF1R;KRAS;MAP2K1;MAP2K2;NRAS;PDGFRA;PIK3R1;PTEN;RAF1;RB1;SOS1;TGFA;TP53,37;122;161;189;192;348;529;562;563;638;687;688;795;837;863;919;937;941;1068;1115;1162
hsa04974,Protein digestion and absorption - Homo sapiens (human),21,ACE2;ATP1B2;CELA2A;COL11A1;COL11A2;COL12A1;COL19A1;COL1A1;COL1A2;COL2A1;COL3A1;COL4A1;COL4A2;COL5A1;COL5A2;COL9A1;COL9A2;COL9A3;KCNJ13;KCNQ1;SLC38A2,12;91;196;235;236;237;238;239;240;241;242;243;244;245;246;247;248;249;624;626;1035
hsa04146,Peroxisome - Homo sapiens (human),21,ABCD1;ABCD3;CAT;HSD17B4;IDH1;IDH2;NOS2;PEX1;PEX10;PEX12;PEX13;PEX14;PEX16;PEX19;PEX2;PEX26;PEX3;PEX6;SOD1;SOD2;XDH,5;6;147;532;546;547;780;844;845;846;847;848;849;850;851;852;853;854;1065;1066;1235
hsa04623,Cytosolic DNA-sensing pathway - Homo sapiens (human),21,ADAR;AIM2;CASP1;CASP3;CASP7;CCL4;CCL5;CXCL10;IFNA2;IFNB1;IL18;IL1B;IL33;IL6;NFKB1;NFKBIA;NLRP3;RELA;RIGI;SAMHD1;TREX1,19;33;144;145;146;158;159;285;553;554;577;579;587;592;768;770;774;948;955;986;1171
hsa05322,Systemic lupus erythematosus - Homo sapiens (human),21,C1R;C1S;C3;CD40;CD40LG;CD80;CD86;FCGR2A;FCGR3A;FCGR3B;H3-3A;H3C2;HLA-DPB1;HLA-DQA1;HLA-DQB1;HLA-DRA;HLA-DRB1;HLA-DRB5;IFNG;IL10;TNF,131;132;133;175;176;182;184;396;398;399;485;486;513;514;515;516;517;518;555;570;1141
hsa05134,Legionellosis - Homo sapiens (human),21,BNIP3;C3;CASP1;CASP3;CASP7;CD14;CR1;CXCL8;HSPA1A;HSPA1B;IL12A;IL12B;IL18;IL1B;IL6;NFKB1;NFKB2;NFKBIA;RELA;TLR4;TNF,121;133;144;145;146;169;256;289;534;535;572;573;577;579;592;768;769;770;948;1134;1141
hsa04270,Vascular smooth muscle contraction - Homo sapiens (human),21,ACTA2;ADCY2;ADCY5;AGT;AGTR1;BRAF;EDN1;EDN3;GNA13;GNAS;GUCY1A1;MAP2K1;MAP2K2;MYH11;MYLK;NPPB;PLA2G2A;PRKACA;PRKACB;PRKG1;RAF1,14;21;22;28;29;122;343;344;453;454;479;687;688;743;744;787;868;897;898;899;937
hsa05213,Endometrial cancer - Homo sapiens (human),21,AKT1;APC;BRAF;CCND1;CTNNA2;CTNNA3;CTNNB1;EGFR;ERBB2;HRAS;KRAS;MAP2K1;MAP2K2;MYC;NRAS;PIK3R1;PTEN;RAF1;SOS1;TCF7;TP53,37;61;122;161;281;282;283;348;362;529;638;687;688;740;795;863;919;937;1068;1105;1162
hsa04115,p53 signaling pathway - Homo sapiens (human),21,ATM;BBC3;BCL2;BCL2L1;CASP3;CCND1;CCNE1;CDK6;CDKN2A;CHEK2;FAS;GORAB;IGF1;PPM1D;PTEN;RPRM;SERPINE1;THBS1;TP53;TP73;TSC2,87;103;106;107;145;161;162;189;192;209;388;457;562;890;919;972;1003;1125;1162;1163;1181
hsa04360,Axon guidance - Homo sapiens (human),20,CXCL12;EFNB1;EPHA2;FES;HRAS;KRAS;MET;NCK1;NCK2;NRAS;PAK4;PIK3R1;PTCH1;PTPN11;RAF1;ROBO2;SEMA3B;SHH;SMO;WNT5A,287;347;357;401;529;638;701;753;754;795;815;863;917;925;937;962;1000;1012;1057;1231
hsa04976,Bile secretion - Homo sapiens (human),20,ABCB1;ABCG2;ABCG5;ABCG8;ADCY2;ADCY5;ATP1B2;CA2;CFTR;CYP3A4;EPHX1;GNAS;HMGCR;LDLR;NR1H4;PRKACA;PRKACB;SLC4A4;SLC9A1;UGT1A4,4;7;8;9;21;22;91;135;206;302;358;454;520;651;793;897;898;1039;1045;1196
hsa05332,Graft-versus-host disease - Homo sapiens (human),20,CD80;CD86;FAS;FASLG;HLA-A;HLA-B;HLA-C;HLA-DPB1;HLA-DQA1;HLA-DQB1;HLA-DRA;HLA-DRB1;HLA-DRB5;HLA-G;IFNG;IL1A;IL1B;IL2;IL6;TNF,182;184;388;389;510;511;512;513;514;515;516;517;518;519;555;578;579;582;592;1141
hsa05416,Viral myocarditis - Homo sapiens (human),20,ACTG1;CASP3;CCND1;CD40;CD40LG;CD80;CD86;HLA-A;HLA-B;HLA-C;HLA-DPB1;HLA-DQA1;HLA-DQB1;HLA-DRA;HLA-DRB1;HLA-DRB5;HLA-G;ICAM1;LAMA2;NOS1,15;145;161;175;176;182;184;510;511;512;513;514;515;516;517;518;519;542;644;779
hsa01524,Platinum drug resistance - Homo sapiens (human),20,AKT1;ATM;BBC3;BCL2;BCL2L1;BIRC2;BIRC3;CASP3;CDKN2A;ERBB2;FAS;FASLG;GSTA4;GSTM1;GSTP1;GSTT1;MAP3K5;PIK3R1;TOP2A;TP53,37;87;103;106;107;114;115;145;192;362;388;389;473;474;475;476;689;863;1160;1162
hsa04920,Adipocytokine signaling pathway - Homo sapiens (human),20,ADIPOQ;AKT1;CD36;CPT1B;IRS1;IRS2;LEP;NFKB1;NFKBIA;NPY;PCK1;POMC;PPARA;PPARGC1A;PTPN11;RELA;SOCS3;STAT3;TNF;TNFRSF1A,24;37;173;255;606;607;652;768;770;790;827;883;886;888;925;948;1064;1080;1141;1148
hsa05231,Choline metabolism in cancer - Homo sapiens (human),20,AKT1;CHKB;DGKE;DGKK;EGFR;HIF1A;HRAS;JUN;KRAS;MAP2K1;MAP2K2;NRAS;PDGFD;PDGFRA;PIK3R1;PLPP3;RAF1;SOS1;TSC1;TSC2,37;211;315;316;348;508;529;616;638;687;688;795;836;837;863;877;937;1068;1180;1181
hsa04670,Leukocyte transendothelial migration - Homo sapiens (human),19,ACTG1;CLDN11;CLDN18;CTNNA2;CTNNA3;CTNNB1;CXCL12;CYBA;ICAM1;MMP2;MMP9;NCF4;PECAM1;PIK3R1;PTPN11;RASSF5;VAV1;VCAM1;VCL,15;223;224;281;282;283;287;291;542;716;718;752;840;863;925;940;1212;1213;1215
hsa04261,Adrenergic signaling in cardiomyocytes - Homo sapiens (human),19,ADCY2;ADCY5;AGT;AGTR1;AKT1;ATP1B2;ATP2B1;BCL2;CREB3L1;GNAS;KCNE1;KCNQ1;PIK3CG;PPP2CA;PRKACA;PRKACB;SCN5A;SLC9A1;TPM4,21;22;28;29;37;91;92;106;260;454;619;626;862;891;897;898;992;1045;1165
hsa04728,Dopaminergic synapse - Homo sapiens (human),19,ADCY5;AKT1;COMT;CREB3L1;DDC;DRD1;DRD2;GNAS;GNB3;GRIA4;KIF5B;MAOA;MAOB;PPP2CA;PRKACA;PRKACB;SLC18A2;SLC6A3;TH,22;37;250;260;307;331;332;454;455;468;634;684;685;891;897;898;1026;1043;1123
hsa05221,Acute myeloid leukemia - Homo sapiens (human),19,AKT1;BRAF;CCND1;CD14;CSF2;HRAS;KRAS;MAP2K1;MAP2K2;MPO;MYC;NFKB1;NRAS;PIK3R1;RAF1;RELA;SOS1;STAT3;TCF7,37;122;161;169;273;529;638;687;688;722;740;768;795;863;937;948;1068;1080;1105
hsa04971,Gastric acid secretion - Homo sapiens (human),18,ACTG1;ADCY2;ADCY5;ATP1B2;CA2;CCKBR;CFTR;CHRM3;GAST;GNAS;KCNE2;KCNJ10;KCNQ1;MYLK;PRKACA;PRKACB;SLC9A1;SST,15;21;22;91;135;153;206;213;436;454;620;623;626;744;897;898;1045;1077
hsa04530,Tight junction - Homo sapiens (human),18,ACTG1;AMOTL1;CCND1;CFTR;CLDN11;CLDN18;ERBB2;JUN;MAP3K5;MYH11;NEDD4L;NF2;PCNA;PPP2CA;PRKACA;PRKACB;TUBA1B;TUBA1C,15;54;161;206;223;224;362;616;689;743;761;766;828;891;897;898;1188;1189
hsa04662,B cell receptor signaling pathway - Homo sapiens (human),18,AKT1;CD19;CD81;CR2;FCGR2B;HRAS;JUN;KRAS;MAP2K1;MAP2K2;NFKB1;NFKBIA;NRAS;PIK3R1;RAF1;RELA;SOS1;VAV1,37;170;183;257;397;529;616;638;687;688;768;770;795;863;937;948;1068;1212
hsa04923,Regulation of lipolysis in adipocytes - Homo sapiens (human),18,ADCY2;ADCY5;AKT1;GNAS;INS;INSR;IRS1;IRS2;MGLL;NPY;NPY1R;PIK3R1;PRKACA;PRKACB;PRKG1;PTGS2;TSHB;TSHR,21;22;37;454;597;599;606;607;705;790;791;863;897;898;899;921;1182;1183
hsa04725,Cholinergic synapse - Homo sapiens (human),18,ADCY2;ADCY5;AKT1;BCL2;CHRM3;CREB3L1;GNB3;HRAS;KCNJ4;KCNQ1;KCNQ5;KRAS;MAP2K1;NRAS;PIK3CG;PIK3R1;PRKACA;PRKACB,21;22;37;106;213;260;455;529;625;626;627;638;687;795;862;863;897;898
hsa05217,Basal cell carcinoma - Homo sapiens (human),18,APC;BMP2;BMP4;CTNNB1;FZD4;GLI2;GLI3;HHIP;PTCH1;PTCH2;SHH;SMO;SUFU;TCF7;TP53;WNT1;WNT11;WNT5A,61;118;119;283;426;451;452;505;917;918;1012;1057;1085;1105;1162;1229;1230;1231
hsa04520,Adherens junction - Homo sapiens (human),18,ACTG1;CTNNA2;CTNNA3;CTNNB1;EGFR;ERBB2;FGFR1;IGF1R;INSR;MAP3K7;MET;NECTIN2;SMAD3;SMAD4;TCF7;TGFBR1;TGFBR2;VCL,15;281;282;283;348;362;406;563;599;690;701;760;1050;1051;1105;1119;1120;1215
hsa04912,GnRH signaling pathway - Homo sapiens (human),17,ADCY2;ADCY5;EGFR;GNAS;GNRH1;HRAS;JUN;KRAS;LHB;MAP2K1;MAP2K2;MMP2;NRAS;PRKACA;PRKACB;RAF1;SOS1,21;22;348;454;456;529;616;638;653;687;688;716;795;897;898;937;1068
hsa04622,RIG-I-like receptor signaling pathway - Homo sapiens (human),17,ADAR;CXCL10;CXCL8;DDX3X;IFIH1;IFNA2;IFNB1;IL12A;IL12B;ISG15;MAP3K7;NFKB1;NFKBIA;RELA;RIGI;TNF;TRAF6,19;285;289;309;550;553;554;572;573;609;690;768;770;948;955;1141;1170
hsa05030,Cocaine addiction - Homo sapiens (human),17,ADCY5;BDNF;CREB3L1;DDC;DRD1;DRD2;GNAS;JUN;MAOA;MAOB;NFKB1;PRKACA;PRKACB;RELA;SLC18A2;SLC6A3;TH,22;110;260;307;331;332;454;616;684;685;768;897;898;948;1026;1043;1123
hsa04914,Progesterone-mediated oocyte maturation - Homo sapiens (human),17,ADCY2;ADCY5;AKT1;AURKA;BRAF;CCNB3;IGF1;IGF1R;INS;KRAS;MAP2K1;PGR;PIK3R1;PLK1;PRKACA;PRKACB;RAF1,21;22;37;94;122;160;562;563;597;638;687;856;863;873;897;898;937
hsa04913,Ovarian steroidogenesis - Homo sapiens (human),17,ADCY2;ADCY5;ALOX5;BMP6;CYP19A1;CYP1A1;GNAS;HSD3B2;IGF1;IGF1R;INS;INSR;LDLR;LHB;PRKACA;PRKACB;PTGS2,21;22;46;120;293;294;454;533;562;563;597;599;651;653;897;898;921
hsa04664,Fc epsilon RI signaling pathway - Homo sapiens (human),17,AKT1;ALOX5;ALOX5AP;CSF2;HRAS;IL13;IL4;IL5;KRAS;MAP2K1;MAP2K2;NRAS;PIK3R1;RAF1;SOS1;TNF;VAV1,37;46;47;273;529;574;589;591;638;687;688;795;863;937;1068;1141;1212
hsa04612,Antigen processing and presentation - Homo sapiens (human),16,CD4;CTSL;HLA-A;HLA-B;HLA-C;HLA-DPB1;HLA-DQA1;HLA-DQB1;HLA-DRA;HLA-DRB1;HLA-DRB5;HLA-G;HSPA1A;HSPA1B;IFNG;TNF,174;284;510;511;512;513;514;515;516;517;518;519;534;535;555;1141
hsa05143,African trypanosomiasis - Homo sapiens (human),16,APOA1;FAS;FASLG;HBB;ICAM1;IFNG;IL10;IL12A;IL12B;IL18;IL1B;IL6;SELE;TLR9;TNF;VCAM1,63;388;389;490;542;555;570;572;573;577;579;592;999;1135;1141;1213
hsa04141,Protein processing in endoplasmic reticulum - Homo sapiens (human),16,ATF6;BCL2;CAPN2;CRYAA;CRYAB;EIF2S1;ERN1;HSPA1A;HSPA1B;MAP3K5;MBTPS2;NFE2L2;P4HB;PRKN;SEC24D;XBP1,83;106;138;267;268;351;365;534;535;689;693;767;813;900;998;1234
hsa04970,Salivary secretion - Homo sapiens (human),16,ADCY2;ADCY5;ATP1B2;ATP2B1;BST1;CHRM3;CST3;GNAS;GUCY1A1;MUC5B;MUC7;NOS1;PRKACA;PRKACB;PRKG1;SLC9A1,21;22;91;92;128;213;277;454;479;734;735;779;897;898;899;1045
