DiseaseName_norm,DrugBankID,Source
medulloblastoma,DB00675,gene_target
medulloblastoma,DB00783,gene_target
medulloblastoma,DB01108,gene_target
medulloblastoma,DB01196,gene_target
medulloblastoma,DB04813,gene_target
medulloblastoma,DB06202,gene_target
medulloblastoma,DB06249,gene_target
medulloblastoma,DB13952,gene_target
medulloblastoma,DB13953,gene_target
medulloblastoma,DB13954,gene_target
medulloblastoma,DB13955,gene_target
medulloblastoma,DB13956,gene_target
osteosarcoma,DB00253,gene_target
osteosarcoma,DB00288,gene_target
osteosarcoma,DB00547,gene_target
osteosarcoma,DB00596,gene_target
osteosarcoma,DB00663,gene_target
osteosarcoma,DB00846,gene_target
osteosarcoma,DB00896,gene_target
osteosarcoma,DB00995,gene_target
osteosarcoma,DB01047,gene_target
osteosarcoma,DB01130,gene_target
osteosarcoma,DB01260,gene_target
osteosarcoma,DB01380,gene_target
osteosarcoma,DB02789,gene_target
osteosarcoma,DB06786,gene_target
osteosarcoma,DB14596,gene_target
craniosynostoses,DB12887,gene_target
osteosarcoma,DB12887,gene_target
disseminatedintravascularcoagulation,DB00006,gene_target
disseminatedintravascularcoagulation,DB00114,gene_target
disseminatedintravascularcoagulation,DB00278,gene_target
disseminatedintravascularcoagulation,DB01125,gene_target
disseminatedintravascularcoagulation,DB04898,gene_target
disseminatedintravascularcoagulation,DB06695,gene_target
disseminatedintravascularcoagulation,DB14726,gene_target
glioma,DB00364,gene_target
glioma,DB00686,gene_target
nephroticsyndrome,DB00364,gene_target
nephroticsyndrome,DB00686,gene_target
craniosynostoses,DB00398,gene_target
craniosynostoses,DB08896,gene_target
craniosynostoses,DB09078,gene_target
craniosynostoses,DB09079,gene_target
craniosynostoses,DB11886,gene_target
craniosynostoses,DB12147,gene_target
craniosynostoses,DB15102,gene_target
craniosynostoses,DB15149,gene_target
glioma,DB09078,gene_target
glioma,DB09079,gene_target
glioma,DB11886,gene_target
glioma,DB12147,gene_target
glioma,DB15102,gene_target
glioma,DB15149,gene_target
cholangiocarcinoma,DB08896,gene_target
cholangiocarcinoma,DB09078,gene_target
cholangiocarcinoma,DB09079,gene_target
cholangiocarcinoma,DB11886,gene_target
cholangiocarcinoma,DB12147,gene_target
cholangiocarcinoma,DB15102,gene_target
cholangiocarcinoma,DB15149,gene_target
multiplemyeloma,DB09078,gene_target
multiplemyeloma,DB09079,gene_target
multiplemyeloma,DB11886,gene_target
multiplemyeloma,DB12147,gene_target
multiplemyeloma,DB15102,gene_target
multiplemyeloma,DB15149,gene_target
neuraltubedefects,DB00205,gene_target
neuraltubedefects,DB15413,gene_target
osteosarcoma,DB15413,gene_target
glioma,DB13995,gene_target
malaria,DB01708,gene_target
malaria,DB03085,gene_target
angelmansyndrome,DB00592,gene_target
angelmansyndrome,DB00818,gene_target
angelmansyndrome,DB06716,gene_target
angelmansyndrome,DB00186,gene_target
angelmansyndrome,DB00189,gene_target
angelmansyndrome,DB00228,gene_target
angelmansyndrome,DB00231,gene_target
angelmansyndrome,DB00237,gene_target
angelmansyndrome,DB00241,gene_target
angelmansyndrome,DB00292,gene_target
angelmansyndrome,DB00306,gene_target
angelmansyndrome,DB00312,gene_target
angelmansyndrome,DB00349,gene_target
angelmansyndrome,DB00371,gene_target
angelmansyndrome,DB00402,gene_target
angelmansyndrome,DB00404,gene_target
angelmansyndrome,DB00475,gene_target
angelmansyndrome,DB00628,gene_target
angelmansyndrome,DB00683,gene_target
angelmansyndrome,DB00690,gene_target
angelmansyndrome,DB00753,gene_target
angelmansyndrome,DB00794,gene_target
angelmansyndrome,DB00801,gene_target
angelmansyndrome,DB00829,gene_target
angelmansyndrome,DB00842,gene_target
angelmansyndrome,DB00897,gene_target
angelmansyndrome,DB01028,gene_target
angelmansyndrome,DB01068,gene_target
angelmansyndrome,DB01107,gene_target
angelmansyndrome,DB01159,gene_target
angelmansyndrome,DB01189,gene_target
angelmansyndrome,DB01205,gene_target
angelmansyndrome,DB01215,gene_target
angelmansyndrome,DB01236,gene_target
angelmansyndrome,DB01437,gene_target
angelmansyndrome,DB01544,gene_target
angelmansyndrome,DB01558,gene_target
angelmansyndrome,DB01559,gene_target
angelmansyndrome,DB01587,gene_target
angelmansyndrome,DB01588,gene_target
angelmansyndrome,DB01589,gene_target
angelmansyndrome,DB01595,gene_target
angelmansyndrome,DB01956,gene_target
angelmansyndrome,DB05087,gene_target
angelmansyndrome,DB09118,gene_target
angelmansyndrome,DB11859,gene_target
angelmansyndrome,DB12404,gene_target
angelmansyndrome,DB13872,gene_target
angelmansyndrome,DB15490,gene_target
osteoporosis,DB09092,gene_target
barrettesophagus,DB12532,gene_target
hyperprolactinemia,DB00014,gene_target
crohndisease,DB04348,gene_target
myopia,DB08883,gene_target
retinitispigmentosa,DB08931,gene_target
retinitispigmentosa,DB15456,gene_target
malaria,DB06154,gene_target
malaria,DB09112,gene_target
malaria,DB09517,gene_target
malaria,DB13995,gene_target
psoriasis,DB00627,gene_target
psoriasis,DB08949,gene_target
narcolepsy,DB09034,gene_target
narcolepsy,DB11951,gene_target
narcolepsy,DB15031,gene_target
osteosarcoma,DB02546,gene_target
osteosarcoma,DB05015,gene_target
osteosarcoma,DB06603,gene_target
osteosarcoma,DB12645,gene_target
atherosclerosis,DB00313,gene_target
atherosclerosis,DB05015,gene_target
atherosclerosis,DB06603,gene_target
atherosclerosis,DB12645,gene_target
qfever,DB00175,gene_target
qfever,DB00227,gene_target
qfever,DB00439,gene_target
qfever,DB00641,gene_target
qfever,DB00945,gene_target
qfever,DB01076,gene_target
qfever,DB01095,gene_target
qfever,DB01098,gene_target
qfever,DB08860,gene_target
qfever,DB08880,gene_target
qfever,DB11629,gene_target
adrenoleukodystrophy,DB02325,gene_target
atherosclerosis,DB09130,gene_target
atherosclerosis,DB09517,gene_target
hemochromatosis,DB09130,gene_target
hemochromatosis,DB09517,gene_target
malaria,DB09130,gene_target
atherosclerosis,DB00283,gene_target
atherosclerosis,DB00341,gene_target
atherosclerosis,DB00342,gene_target
atherosclerosis,DB00354,gene_target
atherosclerosis,DB00366,gene_target
atherosclerosis,DB00392,gene_target
atherosclerosis,DB00405,gene_target
atherosclerosis,DB00427,gene_target
atherosclerosis,DB00434,gene_target
atherosclerosis,DB00455,gene_target
atherosclerosis,DB00477,gene_target
atherosclerosis,DB00557,gene_target
atherosclerosis,DB00568,gene_target
atherosclerosis,DB00637,gene_target
atherosclerosis,DB00719,gene_target
atherosclerosis,DB00737,gene_target
atherosclerosis,DB00748,gene_target
atherosclerosis,DB00751,gene_target
atherosclerosis,DB00768,gene_target
atherosclerosis,DB00777,gene_target
atherosclerosis,DB00792,gene_target
atherosclerosis,DB00835,gene_target
atherosclerosis,DB00885,gene_target
atherosclerosis,DB00902,gene_target
atherosclerosis,DB00912,gene_target
